rank_pos,click,issuer
3,0,x
3,0,z
3,0,e
2,0,y
1,0,x
2,0,y
3,0,y
2,0,y
3,0,y
2,0,e
2,0,y
3,0,e
2,0,y
2,0,y
1,0,x
3,0,y
3,0,y
3,0,z
2,0,x
1,0,z
2,0,z
3,0,z
2,0,e
2,0,y
3,0,y
2,1,y
1,0,x
1,0,x
3,0,z
2,0,x
3,0,z
2,0,e
1,0,e
2,0,y
3,0,e
1,0,x
3,0,e
2,0,y
1,0,e
3,0,x
2,0,y
1,0,x
3,0,y
3,0,z
2,0,z
1,0,x
2,0,z
2,0,y
1,1,x
2,0,y
3,0,z
3,0,z
3,0,z
3,0,z
3,0,y
1,0,y
2,0,y
2,0,y
3,0,z
3,0,z
1,0,z
2,0,y
1,0,y
2,0,x
2,0,y
3,0,y
1,1,x
1,0,z
3,0,e
1,0,x
3,0,y
3,0,y
3,0,e
2,0,z
3,0,z
3,0,e
3,0,z
3,0,z
3,0,x
2,0,y
2,0,y
1,0,x
3,0,y
1,0,x
3,0,z
2,0,y
2,0,e
1,0,x
3,0,y
1,0,x
3,0,z
2,0,y
3,0,y
1,0,x
2,0,y
3,0,x
3,0,z
1,0,x
2,0,x
3,0,x
3,0,x
1,0,x
3,0,e
3,0,e
1,1,x
3,0,e
2,0,y
2,0,e
1,0,x
3,0,z
1,0,z
2,0,x
3,0,z
2,0,y
3,0,z
2,0,y
1,0,x
1,0,x
3,0,z
3,0,e
3,0,z
1,0,y
3,0,z
1,0,x
3,0,e
3,0,z
3,0,y
3,0,z
3,0,x
1,1,x
3,0,e
3,0,z
2,1,x
3,0,y
2,0,x
3,0,e
1,0,x
2,0,y
1,1,x
1,0,x
2,0,y
3,0,z
3,0,e
3,0,y
2,0,y
2,0,z
2,0,z
2,0,y
3,0,z
3,0,y
1,0,x
3,0,y
3,0,z
1,0,x
3,0,z
1,0,x
2,0,x
2,0,y
1,0,x
1,0,x
3,0,y
2,0,x
1,0,x
1,1,y
1,0,x
2,0,z
2,0,y
3,0,z
2,0,z
2,0,y
3,0,y
3,0,z
2,0,y
1,0,x
3,0,y
3,0,z
3,0,y
3,0,x
3,0,e
1,0,z
3,0,z
1,0,y
2,0,y
3,0,z
3,0,e
3,1,z
1,0,x
3,0,z
3,0,e
3,0,y
2,0,e
3,0,z
2,0,x
2,0,z
1,0,x
3,0,z
3,0,e
1,0,y
3,0,e
1,0,x
3,0,e
1,0,z
3,0,e
1,0,x
2,0,y
2,0,y
1,0,x
3,0,z
3,0,z
1,0,x
2,0,y
1,1,x
2,0,y
2,0,z
2,0,y
2,0,x
2,0,y
1,0,z
1,0,y
3,0,y
3,0,z
2,0,y
3,0,z
1,0,x
2,0,y
3,0,e
1,0,x
1,0,y
1,1,y
1,0,x
1,0,x
2,0,x
2,0,z
2,0,y
3,0,y
3,0,e
1,0,x
1,0,x
1,0,x
1,0,y
1,0,x
3,0,e
3,0,y
2,0,y
1,1,x
3,0,z
3,0,z
1,0,y
3,0,z
1,0,y
3,0,e
2,0,e
1,0,x
2,0,y
1,0,y
3,0,e
3,0,y
2,0,y
3,0,y
1,0,x
3,0,z
1,1,x
3,0,x
3,0,z
3,0,e
3,0,z
1,0,x
3,0,z
1,0,e
3,0,z
1,1,x
3,0,x
1,0,e
3,0,y
2,0,x
1,0,x
1,0,x
3,0,z
2,0,x
3,0,e
1,1,y
3,0,z
1,0,x
1,0,x
1,0,x
1,0,y
3,0,z
1,0,x
3,0,e
3,0,z
1,0,x
1,0,z
3,0,x
2,0,y
3,0,z
1,0,x
3,0,e
1,0,x
3,0,z
2,0,y
1,0,x
3,0,z
3,0,z
3,0,e
2,0,e
1,0,x
1,0,x
1,0,x
3,0,z
1,0,z
3,0,z
3,0,z
1,0,x
3,0,e
1,0,x
3,0,z
3,0,x
1,0,x
1,0,y
1,0,x
1,0,x
3,0,x
2,0,y
3,0,e
3,0,e
2,0,y
1,0,x
1,0,x
3,0,z
1,0,y
1,0,x
3,0,e
2,0,y
3,0,y
2,0,y
2,0,z
3,0,z
1,0,z
2,0,y
3,0,y
2,0,y
1,0,x
3,0,e
3,0,y
3,0,z
1,0,x
2,0,x
3,0,e
3,0,e
3,0,y
2,0,y
1,0,y
1,0,x
3,0,e
3,0,z
1,0,z
2,0,y
3,0,z
1,1,x
2,0,x
2,0,x
1,0,x
3,0,z
2,0,y
3,0,z
3,0,e
1,0,x
3,0,y
1,0,x
1,0,x
3,0,y
3,0,y
2,0,y
2,0,y
2,0,y
3,0,z
3,0,e
2,0,x
3,0,z
3,0,z
3,0,e
3,0,z
2,0,y
2,0,z
2,0,y
1,0,x
2,0,y
3,0,y
3,0,z
2,0,y
3,0,y
2,0,y
1,0,x
3,0,x
2,0,z
3,0,e
3,0,y
1,0,x
3,0,z
3,0,x
1,0,x
3,0,e
3,0,z
2,0,x
1,1,x
1,0,y
1,0,x
3,0,x
1,0,x
2,0,y
2,0,y
2,0,y
3,0,z
2,0,y
1,0,y
1,0,x
1,0,z
3,0,z
3,0,z
1,1,x
1,0,x
1,0,x
2,0,x
3,0,e
2,0,y
3,0,y
3,0,z
3,0,e
3,0,e
3,0,y
1,1,y
2,0,y
3,0,y
3,0,e
3,0,e
1,1,y
2,0,y
1,0,e
3,0,y
3,0,z
3,0,x
2,0,z
3,0,z
2,0,e
3,0,y
1,0,z
1,0,x
2,0,x
3,0,y
2,0,z
2,0,z
3,0,e
3,0,y
1,0,x
1,0,y
1,0,x
3,0,z
1,0,x
1,0,z
2,0,e
2,0,y
3,0,z
3,0,z
1,0,x
1,0,x
1,0,y
1,0,x
1,0,x
3,0,x
2,0,x
3,0,y
3,0,y
1,0,x
3,0,z
3,0,e
1,0,y
1,1,y
2,0,y
3,0,e
1,0,y
3,0,e
3,0,y
1,0,x
2,0,y
3,0,e
3,0,e
1,0,z
1,0,y
2,1,y
3,1,y
3,0,z
2,0,y
1,0,x
1,0,x
1,0,x
1,1,x
3,1,y
2,0,y
3,0,y
2,0,y
2,0,x
3,0,x
3,0,z
2,0,z
3,0,y
3,0,y
1,0,y
1,0,x
3,0,y
2,0,y
2,0,y
2,0,y
3,0,e
2,0,y
3,0,z
3,0,e
3,0,z
2,0,y
1,0,x
1,0,z
3,0,z
3,0,z
3,0,z
2,0,y
2,0,y
3,0,e
2,0,y
2,0,x
1,0,x
3,0,z
1,0,x
3,0,y
3,0,y
1,0,x
2,0,x
2,0,x
3,0,e
3,0,e
3,0,e
3,0,e
2,0,z
1,0,e
2,0,y
3,0,e
3,0,z
3,0,y
1,0,x
2,0,e
1,0,x
3,0,x
1,0,x
3,0,e
3,0,y
2,0,y
2,0,y
3,0,z
3,0,e
1,0,x
3,0,z
1,0,x
2,0,z
2,0,y
3,0,y
3,0,z
3,0,z
1,0,y
2,0,y
3,0,e
2,0,z
1,0,y
3,0,z
3,0,z
3,0,z
3,0,z
1,0,e
3,0,z
3,0,y
3,0,x
2,0,x
1,0,x
1,0,x
2,0,y
3,0,e
3,0,z
2,0,z
2,0,z
1,0,z
2,0,y
3,0,z
2,0,y
3,0,y
2,0,z
3,0,e
3,0,z
2,0,x
3,0,x
3,0,z
3,0,z
2,0,x
1,0,x
2,0,y
3,0,z
2,0,z
1,0,x
3,0,e
3,0,z
3,0,z
1,0,z
3,0,z
3,0,e
3,0,y
1,0,x
2,0,x
3,0,z
3,0,z
1,0,x
2,0,z
2,0,z
2,0,z
2,0,y
1,0,x
1,0,x
1,0,x
1,0,x
2,1,x
1,0,x
2,0,e
3,0,z
3,0,e
3,0,z
2,0,z
2,0,y
1,0,y
1,0,y
1,0,y
3,0,e
3,0,z
3,0,z
2,0,z
3,0,e
2,0,y
1,0,x
3,0,z
2,0,y
3,0,z
1,0,y
1,1,x
3,0,e
3,0,e
3,0,e
3,0,z
2,0,y
3,0,e
3,0,z
1,0,x
3,0,z
2,0,x
2,0,e
1,0,x
3,0,e
1,0,z
1,0,x
2,0,y
3,0,x
3,0,e
3,0,e
1,0,x
3,0,z
3,0,y
3,0,z
2,0,y
3,0,e
2,0,y
2,0,x
2,0,x
3,0,z
1,0,y
1,0,x
3,0,z
3,0,e
3,0,z
3,0,z
3,0,e
3,0,z
2,0,y
3,0,x
2,0,y
3,0,y
3,0,e
2,0,x
3,0,z
2,0,z
3,0,e
1,0,x
3,0,e
3,0,y
3,0,x
3,0,e
2,0,y
3,0,e
1,0,x
1,1,y
1,0,y
3,0,z
3,0,z
1,0,x
1,0,x
1,0,y
1,0,y
3,0,z
1,0,y
3,0,y
3,0,e
1,0,y
3,0,z
2,0,z
1,0,y
2,0,z
3,0,y
1,0,z
1,0,e
1,0,x
3,0,z
3,0,z
3,0,z
3,0,y
3,0,z
3,0,e
3,0,z
3,0,e
3,0,y
2,0,x
3,0,e
3,0,y
3,0,y
1,0,x
2,0,z
1,0,x
1,0,z
1,0,x
3,0,y
1,0,y
3,0,y
2,0,x
3,0,z
1,1,x
1,0,y
2,0,y
1,0,y
1,0,y
2,0,z
3,0,z
3,0,z
1,0,y
3,0,z
3,0,e
2,0,y
3,0,z
1,0,x
2,0,x
1,0,x
3,0,z
3,0,z
3,0,e
1,0,y
3,0,e
3,0,e
2,1,x
1,0,z
1,0,x
3,0,e
1,0,x
3,0,x
3,0,y
2,0,e
3,0,z
3,0,e
2,0,x
2,0,z
1,0,x
2,0,y
3,0,e
2,0,y
1,0,e
1,0,y
1,0,x
2,0,x
3,0,e
2,0,y
2,0,x
1,0,x
3,0,z
1,0,x
1,0,x
1,0,x
1,0,x
3,0,y
1,0,y
2,0,e
3,0,z
1,0,x
3,0,e
3,0,y
1,0,x
1,0,x
3,0,y
3,0,e
3,0,z
1,0,z
2,0,y
3,0,y
3,0,z
1,0,x
3,0,z
2,0,x
2,0,z
1,0,x
3,0,z
2,0,e
3,0,z
1,0,y
3,0,e
2,0,e
1,0,x
1,0,x
3,0,z
2,0,y
3,0,e
3,0,z
3,0,y
3,0,e
3,0,z
2,0,y
3,0,e
3,0,y
3,0,y
1,0,x
2,0,y
2,1,z
1,0,x
3,0,e
2,0,y
3,0,e
1,0,e
1,0,x
1,0,x
1,1,x
1,0,z
2,0,y
3,0,e
2,0,y
3,0,e
2,0,y
3,0,z
1,0,y
3,0,z
3,0,y
3,0,z
1,0,x
3,0,z
1,0,x
1,0,x
1,0,x
3,0,e
3,0,y
2,0,z
3,0,y
1,0,x
1,1,x
2,0,y
1,0,y
3,0,y
3,0,y
3,0,y
3,0,y
3,0,e
2,0,y
2,0,x
3,0,z
3,0,y
3,0,e
1,0,x
3,0,z
3,0,z
1,0,x
1,0,x
2,0,y
3,0,z
1,0,x
3,0,y
1,0,x
3,0,e
3,0,y
2,0,x
3,0,z
3,0,y
2,0,z
2,0,y
3,0,z
3,0,x
2,0,y
1,0,z
3,0,y
1,0,z
2,0,y
1,0,x
1,0,x
1,0,x
3,0,x
3,0,z
1,0,x
2,0,y
3,0,e
1,0,x
1,0,x
3,0,y
1,0,z
3,0,e
1,0,x
2,0,y
3,0,y
1,0,x
3,0,z
3,0,x
2,0,x
3,0,e
1,0,x
2,0,z
1,0,x
3,0,e
3,0,e
3,0,y
3,0,z
3,0,y
3,0,e
3,0,z
2,0,z
1,0,x
2,0,y
3,0,e
2,0,x
3,0,y
2,0,y
2,0,z
1,0,y
3,0,e
3,0,z
2,0,e
2,0,y
3,0,e
3,0,e
3,0,y
3,0,z
2,0,x
3,0,z
1,0,x
3,0,y
2,1,z
1,0,y
3,0,y
2,0,y
1,0,x
1,0,x
1,0,x
1,0,x
3,0,e
2,0,y
1,0,y
3,0,z
2,0,y
3,0,z
2,0,e
3,0,x
3,0,x
2,0,x
2,0,y
1,0,x
3,0,y
2,0,x
1,0,e
3,0,y
3,0,y
1,0,x
2,0,z
2,0,y
3,0,y
3,0,z
2,0,y
2,1,y
3,0,y
1,0,x
1,0,x
1,0,x
1,0,x
2,0,y
3,0,z
2,0,y
1,0,x
3,0,e
1,0,x
1,0,y
3,0,z
2,0,y
3,0,x
2,0,z
3,0,z
3,0,z
2,0,y
3,0,z
3,0,e
3,0,y
2,0,z
3,0,e
3,0,y
3,0,z
2,0,z
3,0,y
2,0,y
2,0,x
2,0,z
2,0,z
3,0,x
2,0,y
3,0,e
2,1,z
3,0,e
1,0,y
2,0,x
2,0,x
2,0,y
2,0,y
2,0,y
2,0,e
3,0,e
3,1,y
3,0,e
1,0,x
1,0,x
2,0,y
1,0,x
3,0,y
3,0,e
3,0,y
3,0,e
3,0,e
3,0,y
3,0,e
3,0,z
3,0,z
2,0,z
3,0,y
3,0,z
1,0,x
3,0,x
2,0,x
3,0,e
2,0,x
1,0,x
2,0,y
3,0,z
1,0,x
1,0,x
1,0,x
2,0,y
2,0,y
2,0,x
3,0,e
1,0,x
2,0,x
1,0,x
1,1,x
2,0,e
2,0,x
1,1,y
3,0,x
2,0,z
2,0,y
2,0,x
3,0,z
3,0,z
1,1,x
3,0,x
3,0,e
3,0,z
1,1,x
3,1,z
2,0,x
3,0,y
3,0,z
2,0,x
1,0,y
3,0,y
3,0,x
3,0,z
1,0,x
1,0,x
2,1,x
1,0,x
1,0,x
1,0,z
2,0,x
3,0,y
2,0,y
3,0,e
1,0,x
1,1,y
1,0,x
1,0,x
2,0,y
3,0,e
3,1,y
2,0,x
2,0,y
3,0,e
2,0,y
2,0,e
3,0,z
1,0,x
2,0,z
1,0,x
3,0,e
1,0,y
3,0,e
2,0,y
3,0,e
1,0,x
2,0,y
3,0,e
3,0,e
3,0,x
3,0,z
2,0,y
1,0,x
2,0,y
2,0,y
2,0,z
2,0,z
3,0,e
3,0,y
3,0,x
1,0,y
1,0,x
2,1,y
2,0,x
2,0,x
3,0,y
1,0,x
1,0,x
3,0,z
2,0,x
3,0,e
1,0,x
1,0,x
2,0,x
1,1,y
3,0,e
2,0,y
3,0,z
1,0,y
3,0,y
1,0,x
3,0,y
1,0,x
3,0,z
3,0,y
1,0,x
2,0,y
3,0,z
2,0,x
1,0,e
2,0,y
3,0,e
1,0,y
1,0,y
1,0,e
1,0,x
3,0,y
1,0,y
3,0,z
3,0,y
2,0,z
3,0,z
3,0,z
1,0,y
3,0,e
3,0,y
2,0,y
1,1,y
2,0,z
1,0,x
3,0,y
1,0,z
3,0,y
3,0,z
2,0,y
2,0,z
3,0,x
3,0,z
2,0,y
1,0,x
3,0,e
3,0,y
3,0,z
1,0,y
1,0,y
1,0,x
2,1,y
3,0,e
1,0,x
3,0,z
3,0,z
2,0,z
1,0,x
2,0,e
1,0,y
3,0,z
3,0,e
3,0,z
2,0,y
1,0,x
2,0,y
3,0,e
3,0,y
3,0,y
1,0,y
2,0,z
2,0,z
1,0,x
3,0,e
2,0,x
1,0,y
3,0,z
3,0,y
2,0,x
2,0,x
3,0,e
1,0,x
2,0,z
3,0,e
3,0,y
2,0,x
1,0,x
3,0,x
3,0,z
2,0,y
1,0,y
1,0,x
1,0,x
2,0,y
2,0,y
3,0,e
3,0,z
3,0,z
1,0,x
1,0,x
1,0,y
1,0,z
1,0,y
2,0,z
2,0,x
3,0,z
2,0,y
1,0,x
3,0,z
3,0,z
2,0,y
3,0,e
1,1,x
3,0,z
3,0,y
3,1,z
1,0,x
1,0,x
1,0,y
2,0,y
2,0,y
1,1,x
1,0,x
3,0,z
1,0,y
2,0,x
2,1,y
2,0,y
2,0,z
3,0,y
3,0,e
3,0,z
2,0,y
2,0,y
2,0,y
2,0,y
2,0,y
1,0,y
2,0,x
1,0,x
3,0,z
2,0,z
3,0,y
1,0,x
1,1,x
3,0,e
2,0,y
2,0,e
3,0,z
3,0,z
3,0,z
3,0,e
3,0,e
1,0,x
3,0,e
1,0,x
2,0,y
1,0,y
3,0,e
2,0,x
2,0,y
2,0,y
2,0,y
3,0,e
3,0,z
3,0,z
3,0,y
3,0,z
3,0,e
1,0,x
2,0,y
3,0,z
2,0,e
2,0,z
1,0,x
3,0,z
1,0,z
2,0,y
3,0,e
1,0,y
1,0,x
3,0,z
3,0,z
1,0,x
3,0,z
3,0,e
2,0,e
2,0,y
3,0,z
2,0,z
2,0,z
2,0,x
2,0,y
3,0,y
3,0,y
1,0,x
3,0,z
3,0,y
3,0,y
1,0,x
3,0,z
3,0,z
3,0,x
1,0,x
1,1,x
1,0,y
3,0,e
1,0,x
3,0,e
2,0,y
1,0,x
2,0,y
2,0,y
2,0,z
3,0,z
2,0,z
3,0,z
2,0,y
3,0,z
2,0,y
3,0,z
3,0,y
2,0,z
2,0,y
3,0,y
1,0,x
1,0,x
1,0,y
2,0,x
1,0,y
3,0,y
1,0,x
3,0,y
2,0,e
1,0,y
2,0,y
3,0,z
1,0,x
2,0,e
1,0,x
1,0,e
2,0,z
2,0,x
3,0,y
3,0,y
2,0,y
2,0,y
2,0,y
3,0,y
1,0,x
2,1,y
2,0,x
2,0,e
1,0,x
1,0,x
3,0,x
2,0,y
2,0,y
3,0,z
3,0,z
2,0,e
3,0,z
1,0,x
2,0,z
1,0,x
1,0,x
1,0,x
2,0,x
3,0,x
3,0,z
1,0,y
3,0,z
3,0,e
3,0,y
3,0,y
1,0,x
2,0,y
2,0,z
3,0,z
2,0,z
1,0,y
1,1,y
2,0,y
1,0,x
2,0,y
1,0,x
2,0,y
2,0,y
2,0,y
3,0,z
1,0,x
1,0,y
2,0,x
3,0,e
3,0,e
3,0,y
2,0,x
3,0,z
3,0,e
1,0,x
3,0,e
3,0,z
3,0,z
3,0,z
2,0,y
2,0,z
2,0,y
1,0,x
3,0,z
2,0,y
2,0,z
2,0,x
3,0,z
3,0,z
3,0,z
2,1,e
2,0,y
3,0,e
2,0,y
1,0,x
2,0,y
3,0,e
2,0,y
3,0,z
1,0,x
1,0,x
2,0,y
1,0,y
3,0,e
1,0,y
2,0,y
3,0,z
1,0,x
1,0,x
3,0,e
1,0,e
3,0,z
3,0,y
2,1,x
2,0,y
2,0,x
1,0,x
3,0,z
2,0,x
3,0,e
1,0,y
2,0,y
2,0,y
3,0,e
2,0,z
1,0,x
3,0,e
3,0,e
1,0,x
2,0,y
1,0,x
1,0,z
2,0,z
2,0,y
1,0,x
2,0,y
3,0,e
1,0,x
3,0,e
3,0,y
2,0,y
3,0,z
3,0,e
2,0,x
2,0,y
2,0,z
1,0,y
1,0,x
3,0,e
1,1,x
1,0,x
2,1,y
1,0,x
2,0,x
3,0,z
3,0,z
3,0,x
3,0,z
1,0,z
1,0,x
1,0,y
1,0,z
3,0,y
3,0,e
3,0,z
1,0,x
3,0,z
3,0,e
3,0,e
2,0,y
2,0,z
2,0,x
3,0,e
2,0,x
2,0,e
2,0,x
1,0,x
2,0,x
3,0,e
2,0,y
2,0,z
1,0,y
1,0,x
3,0,z
2,0,y
2,0,x
3,0,z
3,0,y
1,0,x
1,0,x
2,0,x
2,0,e
1,0,y
1,0,x
2,0,z
3,0,z
1,0,y
3,0,z
2,0,y
2,0,y
2,0,x
1,0,x
2,0,x
1,0,y
3,0,e
3,0,y
1,0,z
2,0,y
2,0,z
2,0,y
1,0,x
3,0,z
2,0,y
2,0,z
3,0,e
3,0,z
1,0,y
3,0,z
3,0,z
2,0,x
2,0,y
3,0,z
3,0,e
3,0,e
3,0,z
2,0,y
3,0,y
3,0,z
2,0,y
2,0,y
2,0,e
1,0,y
1,0,x
3,0,z
3,0,x
3,0,x
3,0,e
3,0,z
1,1,y
2,0,y
2,0,z
1,0,x
1,0,y
3,0,e
2,0,e
1,0,x
3,0,y
1,0,y
2,0,x
3,0,y
1,0,y
2,0,e
3,0,z
2,0,z
3,0,y
3,0,z
3,0,z
1,0,x
3,0,e
3,0,z
3,0,e
3,0,e
2,0,y
3,0,x
3,0,z
3,0,e
3,0,y
2,0,x
3,0,z
2,0,x
1,0,x
1,0,x
2,0,y
2,0,y
3,0,y
3,0,e
3,0,z
3,0,e
1,0,x
1,0,z
2,1,y
3,0,x
3,0,z
3,0,e
1,1,x
2,1,x
1,0,x
1,0,x
3,0,z
1,0,x
3,0,z
3,0,e
3,0,z
1,0,x
3,0,z
1,0,x
2,0,y
3,0,e
2,0,y
2,0,y
1,0,x
1,0,x
1,0,x
3,0,z
2,0,z
3,0,z
2,0,z
1,0,x
1,0,y
1,1,x
1,0,y
2,0,x
3,0,z
1,0,x
3,0,e
2,0,y
1,0,z
2,0,y
1,0,x
2,0,y
2,0,y
2,0,y
3,1,z
2,0,y
1,0,z
1,0,x
2,0,e
3,0,y
2,0,x
2,0,x
3,0,x
3,0,z
2,0,z
3,0,z
3,0,z
1,0,e
3,0,z
3,0,y
2,0,z
2,0,y
3,0,x
3,0,e
3,0,y
1,0,x
2,0,z
2,0,y
3,0,z
1,0,x
3,0,z
3,0,e
2,0,x
2,0,e
1,0,x
3,0,x
2,0,x
3,0,x
3,0,z
1,0,x
3,0,e
2,0,z
3,0,y
2,0,z
2,0,y
1,0,x
1,0,x
2,0,y
2,0,z
3,0,e
3,0,e
3,0,z
1,0,x
2,0,x
3,0,y
2,0,x
3,0,e
3,0,y
2,0,y
3,0,x
3,0,e
1,0,x
1,0,x
3,0,z
2,0,z
1,0,y
1,0,x
3,0,z
1,0,x
3,0,z
1,0,x
1,1,x
3,0,z
2,0,x
1,0,x
3,0,y
2,0,x
3,0,e
3,0,y
3,0,e
1,0,x
1,0,y
1,0,x
1,0,x
3,0,e
3,0,z
2,0,z
3,0,e
1,0,x
1,0,y
3,0,y
2,0,y
3,0,e
1,0,x
3,0,z
2,0,z
3,0,y
3,0,e
1,0,y
3,0,y
2,0,x
1,0,z
1,0,y
3,0,z
1,0,x
3,0,y
2,0,y
3,0,z
1,0,e
1,0,y
1,0,x
3,0,z
2,0,y
3,0,z
2,0,y
3,0,y
1,0,x
2,0,y
1,0,x
3,0,z
2,0,x
3,0,z
3,0,z
1,0,y
3,0,e
2,0,y
1,1,y
1,0,x
1,0,x
2,0,e
2,0,x
1,0,x
1,1,x
3,0,y
2,0,y
1,0,x
1,0,x
2,0,z
2,0,y
3,0,e
1,0,x
2,0,y
3,0,z
3,0,x
2,0,x
2,0,e
2,0,z
2,0,y
1,0,x
1,0,y
2,0,z
2,0,z
3,0,y
1,0,x
1,0,x
3,0,z
2,0,y
1,0,y
3,0,z
3,0,e
3,1,e
3,0,y
3,0,z
3,0,e
1,0,y
3,0,e
1,0,y
2,0,y
1,0,x
3,0,z
1,0,y
2,0,x
2,0,y
1,0,y
3,0,z
3,0,z
3,0,e
2,0,z
2,0,y
2,0,z
3,0,z
3,0,y
3,0,y
1,0,x
1,0,x
1,0,y
3,0,e
3,0,e
2,0,x
3,0,z
1,0,x
2,0,x
3,0,z
3,0,e
3,0,z
2,0,y
3,0,x
2,0,y
3,0,z
3,1,z
1,0,x
3,0,z
2,0,y
3,0,e
3,0,y
3,0,z
1,0,x
1,0,y
1,0,x
3,0,z
3,0,e
3,0,e
2,0,y
1,0,x
3,0,e
2,0,z
2,0,e
1,0,x
2,0,x
1,0,x
3,0,e
3,0,e
2,0,y
1,0,x
2,0,y
2,0,y
3,0,y
2,0,z
3,0,y
2,0,x
1,0,z
3,0,e
1,0,x
3,0,y
2,0,y
2,0,z
1,0,z
3,0,e
3,0,e
3,0,e
2,0,y
3,0,z
1,0,x
1,0,x
3,0,z
3,0,z
1,0,z
3,0,z
1,0,x
2,0,x
3,0,y
1,0,x
2,0,y
2,0,y
3,0,y
3,0,y
1,0,x
1,0,x
2,0,y
3,0,y
3,0,z
1,0,x
1,0,y
1,0,x
3,0,y
2,0,y
2,0,x
1,0,x
2,0,y
2,1,x
1,0,x
2,0,y
1,0,x
2,0,y
3,0,y
2,0,y
1,0,x
2,0,x
2,0,z
1,0,y
2,0,y
3,0,e
2,0,y
2,0,z
2,0,y
1,0,x
1,0,x
3,0,e
1,0,x
3,0,z
2,0,y
2,0,y
1,0,x
3,0,y
3,0,y
2,1,z
2,0,z
2,0,x
3,0,z
1,0,y
3,0,e
2,0,z
1,0,x
3,0,y
1,0,x
2,0,e
3,0,e
1,0,x
3,0,y
2,0,z
3,0,e
3,0,y
2,0,y
3,0,y
1,0,x
1,0,y
2,0,y
1,0,x
1,0,z
2,0,y
2,0,z
2,0,x
3,0,e
1,0,x
3,0,z
1,0,x
3,0,z
2,0,y
3,0,z
2,0,y
1,0,x
1,0,y
2,0,e
2,0,y
2,0,x
3,0,y
2,0,y
3,0,y
1,0,y
2,0,y
2,0,z
2,0,y
1,0,x
2,0,z
1,0,e
1,0,x
2,0,x
1,0,x
3,0,e
3,0,z
3,0,z
1,0,x
3,0,e
1,0,x
1,0,x
2,0,y
3,0,y
2,0,y
3,0,e
1,0,x
3,0,e
1,0,x
2,0,y
1,0,z
3,0,z
2,0,y
3,1,z
3,0,z
2,0,y
2,0,x
1,0,x
1,0,x
3,0,e
1,0,x
2,0,y
2,0,z
2,0,e
3,0,x
3,0,e
1,0,x
3,0,z
1,0,z
1,0,x
3,0,z
3,0,e
1,0,x
3,0,z
1,0,x
3,0,e
3,0,y
3,0,x
2,0,y
3,0,y
1,0,x
1,0,x
3,0,y
3,0,z
3,0,e
3,0,z
1,0,x
1,0,x
1,0,x
2,0,y
2,0,e
1,0,y
1,0,x
3,0,y
3,0,z
2,0,y
1,1,x
2,0,z
1,0,y
3,0,x
2,0,y
1,1,y
1,0,x
1,0,y
3,0,e
2,0,x
2,0,y
3,0,z
2,0,x
2,0,z
1,0,z
2,0,z
1,0,x
1,0,y
1,0,x
3,0,z
3,0,e
2,0,y
3,0,x
2,0,y
1,0,x
2,0,y
2,0,y
3,0,z
1,0,x
2,0,y
3,0,y
3,0,e
3,0,e
3,0,y
1,0,y
1,0,x
3,0,z
2,0,x
1,0,x
3,0,y
2,0,z
3,0,e
3,0,z
3,0,e
2,0,z
1,0,x
3,0,y
1,0,z
2,0,y
2,0,y
3,0,z
1,0,y
3,0,e
2,0,x
3,1,x
2,0,y
3,0,z
3,0,z
2,0,y
1,0,x
1,0,x
1,0,x
2,1,y
3,0,y
1,1,x
3,0,x
3,0,e
2,0,x
3,0,x
1,0,x
2,0,y
1,0,x
3,0,z
3,0,z
3,0,e
3,0,e
3,0,z
3,0,e
2,0,x
3,0,z
1,0,x
2,0,x
1,0,y
2,0,y
2,0,x
3,0,y
2,0,y
3,0,y
1,0,x
3,0,y
3,0,e
3,0,z
2,0,y
2,0,y
1,0,x
1,0,x
2,0,y
1,0,z
3,0,e
3,0,x
1,0,x
2,0,x
1,0,x
1,0,x
2,0,y
2,0,z
2,0,y
2,0,y
3,0,z
3,0,y
3,0,z
2,0,x
3,0,x
2,0,x
3,0,y
3,0,z
3,0,z
3,0,z
1,0,x
3,0,z
3,0,z
3,0,x
3,0,y
3,0,z
2,0,y
2,0,y
2,0,y
2,0,z
3,0,y
2,0,x
3,0,e
3,0,x
3,0,z
3,0,e
2,0,e
1,0,e
1,0,x
2,0,z
3,0,z
3,0,y
3,0,x
2,0,y
1,0,y
3,0,z
3,0,y
3,0,x
2,0,y
1,0,x
2,0,y
1,0,x
3,0,z
3,0,y
2,0,e
3,0,x
3,0,z
1,1,x
1,0,x
1,0,y
3,0,x
1,0,x
1,0,x
3,0,z
1,0,x
1,0,x
2,0,z
2,0,z
1,0,x
2,0,z
3,0,y
3,0,e
1,0,x
3,0,e
3,0,y
3,0,e
3,0,e
2,0,y
2,0,z
3,0,y
3,0,x
2,0,y
1,0,x
2,0,y
3,0,z
2,0,y
1,1,x
3,0,y
3,0,e
2,0,z
3,0,e
1,0,x
2,0,x
1,0,x
2,0,y
3,0,z
1,0,x
3,0,y
1,0,x
2,0,y
1,0,e
1,0,x
2,0,y
3,0,e
3,0,y
3,0,y
3,0,z
2,0,y
3,0,y
2,0,y
1,0,x
1,0,x
3,0,y
1,0,y
3,0,y
3,0,z
2,0,x
3,0,y
3,0,y
2,0,y
1,0,y
1,1,x
1,0,x
1,0,x
2,0,y
3,0,e
